volume,issue,month,year,type,title,author,abstract_research_summary,abstract managerial summary
44,1,January,2023,RESEARCH SUMMARY,Issue Information,,,
44,1,January,2023,RESEARCH SUMMARY,"Empirical inquiry without hypotheses: A question-driven, phenomenon-based approach to strategic management research","Melissa E. Graebner, Anne Marie Knott, Marvin B. Lieberman, Will Mitchell","Many advances in strategic management have resulted from the application of formal deductive methods, based on tests of specific hypotheses derived from theory. Nonetheless, numerous important research topics involve phenomena that are novel and/or causally complex and so resist basic hypothetico-deductive logic. As a result, many of the most important findings in strategy research have come from open-ended studies of relevant phenomena. The special issue of the SMJ on “Question-Driven and Phenomenon-Based Empirical Strategy Research” presents innovative ideas for question-driven research and expands the toolkit of research approaches. In this introduction we describe the twelve articles in the special issue, focusing on how they contribute to continued development of the question-driven approach to research in strategic management.","One of the frustrations managers have with academic research is that it tends to be driven by questions that are theoretically interesting or lend themselves to clever econometrics. Accordingly, the results can lack managerial relevance. We highlight research that takes the opposite approach—identifying important business phenomena and devising empirical approaches to characterize them and derive managerial implications. In this introductory article, we briefly summarize the studies in the special issue, showing how they answer a diverse set of questions using a range of methods."
44,1,January,2023,RESEARCH SUMMARY,Entry diversion: Deterrence by diverting submarket entry,"Bilgehan Uzunca, Bruno Cassiman","Going back to Bain (1956), strategy scholars have long recognized the importance of deterring entry for sustaining incumbents' profits in an industry. We introduce a new mechanism, entry diversion, to better understand the empirical phenomenon of persistent firm entry in spite of investments in entry deterrence by incumbents in some industries. Entry diversion happens when preemptive strategic investments by incumbents decrease the expected future profits from a target submarket such that entrants choose to enter another submarket within the same industry. Empirical evidence from the global semiconductor manufacturing industry suggests that incumbents expand their capacities beyond demand growth, and that these investments effectively divert entry into other submarkets. Greenfield entrants are more responsive to entry diversion than incumbents.","Managers have long understood that deterring entry of new players into their industry could sustain their firms' profits. In this article, we introduce a new mechanism, entry diversion, where the incumbent diverts potential entrants from its submarket toward other submarkets in the same industry. Entry diversion happens when preemptive strategic investments by incumbents decrease the expected future profits of the entrant in a submarket of the industry such that the entrant chooses not to enter the incumbent's submarket. Contrary to entry deterrence, new players will still enter the industry but settle in different submarkets. Empirical evidence from the global semiconductor manufacturing industry suggests that incumbents expand their capacities beyond demand growth, and that these investments effectively divert entry into other submarkets."
44,1,January,2023,RESEARCH SUMMARY,The firm as an architect of polycentric governance: Building open institutional infrastructure in emerging markets,"Aline Gatignon, Laurence Capron","We apply pattern-matching techniques to contrast qualitative case study data with perspectives from strategic management and institutional economics about how a firm can address voids in market-based institutions. We identify a novel approach whereby the firm builds an open institutional infrastructure (OII) by investing in a pool of resources widely accessible beyond its exchange partners. To collectively govern OII, the firm must empower other actors within multilateral cross-sector partnerships, and it must enforce the resulting rules through relational norms based on alignment between public and private value creation. These findings, achieved by adapting Elinor Ostrom's principles of polycentric governance to corporate actors who take the lead in building OII, advance our understanding of new organizational forms that transcend the traditional boundaries of firms and markets.","Emerging markets typically present additional obstacles for business operations because they lack the necessary underlying institutional infrastructure such as access to capital and labor markets. We introduce a new way for firms to overcome these obstacles—which we call building an OII—by investing in such infrastructure themselves and making it available to their commercial partners, local communities, and even to competitors. Firms must empower those actors to take the lead in collectively defining the rules for accessing this infrastructure, by orchestrating cross-sector partnerships. This process creates relational norms around the alignment of public and private interests, which ultimately can promote firms' competitive advantage."
44,1,January,2023,RESEARCH SUMMARY,The entrepreneurial process: Evidence from a nationally representative survey,"Victor M. Bennett, Aaron K. Chatterji","Scholars have traditionally characterized the variation in firm performance as determined by conditions after entry, where the entry decision is a one-shot binary choice determined by cost–benefit analysis. However, recent theoretical work has posited that the entry decision is an outcome of a learning process and that the information acquired during the pre-entry period shapes subsequent performance dynamics. We provide the first systematic data on the pre-entry period using a nationally representative survey. We document the activities that prospective entrants undertake, finding variation according to opportunity costs, prior experience, and confidence levels. Our results suggest the pre-entry period is shaped by a series of choices by prospective entrants as they contemplate entry, further exploration, or ending the entrepreneurial process.","We created and implemented a nationally representative survey on the entrepreneurial activities of Americans. Several interesting findings emerged. First, approximately a third of Americans report having had a business idea in the past 5 years, motivated in the vast majority of cases by lifestyle concerns rather than the pursuit of significant business opportunities. Fewer than half of those who considered starting a business take even the lowest cost steps, like searching the Internet for potential competitors or speaking with a friend. Our findings reveal an entrepreneurial process which involves a significant pre-entry period where prospective entrepreneurs seek to acquire information about the quality of their idea, perform administrative tasks to prepare for launch and encounter frictions that impede their progress."
44,1,January,2023,RESEARCH SUMMARY,The risk of being ranked: Investor response to marginal inclusion on the 100 Best Corporate Citizens list,"Ben W. Lewis, W. Chad Carlos","Despite the proliferation of lists and rankings that recognize firms for superior performance, empirical studies have been limited in their ability to causally evaluate how inclusion for the marginal firm influences shareholder value. We address this limitation by examining how investors responded to firms that were barely included or excluded from the 100 Best Corporate Citizens list. Contrary to prevailing theoretical expectations, our findings indicate that marginal firms that were included in the ranking experienced negative abnormal returns compared to marginal firms that were excluded. We discuss the theoretical implications of these findings and how they inspire future research questions for scholarship on rankings and status. We also discuss implications for managers that question whether and when being ranked results in financial benefits or liabilities.","Because being ranked is generally seen as an important strategic objective for companies, managers must carefully consider how much attention and resources to allocate toward this pursuit. Although existing research suggests that being ranked can be beneficial, we have a limited understanding about whether barely making a ranked list is worth the effort. We provide new insights for managers by showing that investors not only respond negatively to marginal inclusion on a ranking but also provide suggestions for how companies might counteract this effect. Specifically, our results suggest that making consistent, focused investments that are relevant to external stakeholders may buffer organizations from the potential negative effects of marginal inclusion on a ranking. These insights may also inspire managers to reconsider their firms' commitments to being ranked."
44,1,January,2023,RESEARCH SUMMARY,Entrepreneurial teams' acquisition of talent: Evidence from technology manufacturing industries using a two-sided approach,"Florence Honoré, Martin Ganco","One of the established findings in the spinout literature is that founders with prior industry experience assemble larger entrepreneurial teams and create better-performing startups. We examine the role of prior industry experience in the startups' next stage—its hiring of new employees. We tackle two empirical challenges—the mutual aspect of hiring and the effect of unobserved variables on employees' earnings using a two-sided matching model. Our results reveal that even firms founded by entrepreneurs without industry experience can attract new employees with such experience if the founders start with a large entrepreneurial team. Further, startups provide new hires with an earnings premium for their industry experience. Our approach illustrates the benefits of matching models over traditional regressions.","Growing startups face the question of who to hire and how much to compensate the new hires. Simultaneously, prospective new hires ask which startup to join and how much their salary will be. We explore these questions using a novel method that tackles the mutual selection process. In the context of five technological manufacturing industries, we find that having industry experience within founding teams may not be necessary to attract new hires with high quality if the startup can signal its own quality through other means such as having a larger founding team. Our results indicate that startups prefer employees with industry experience for which startups offer a wage premium. Thus, employees seeking startup employment benefit from gaining industry experience prior to joining a startup."
44,1,January,2023,RESEARCH SUMMARY,The performance effects of creative imitation on original products: Evidence from lab and field experiments,"Liangyan Wang, Brian Wu, Cornelia Pechmann, Yitong Wang","A market entrant often challenges the incumbent using creative imitation: The entrant creatively combines imitated aspects of the original with its own innovative characteristics to create a distinct offering. Using lab and field experiments to examine creative imitation in China, we find the effects of creative imitations on the originals depend on the creative imitation's quality. We explore the underlying mechanisms, and show that including a low-quality creative imitation in the retail choice set increases satisfaction with and choice of the original, while a moderate-quality creative imitation does the opposite. Moreover, creative imitation affects consumers' satisfaction with the original by influencing whether their experience with the original verifies their expectations. Our paper reveals creative imitation effects to help incumbent firms effectively address them.","When the incumbent is challenged by an entrant using creative imitation, consumers may react differently to the incumbent, and understanding consumers' reactions allows the incumbent to make better strategic decisions about how to address the challenge. Using lab and field experiments, we investigate creative imitations with two quality levels common in our empirical context, low quality and moderate quality, and examine how and why they differentially affect the originals. We find the presence of a low-quality creative imitation actually increased choice of the original by enhancing consumers' satisfaction with it, while a moderate-quality creative imitation reduced choice of the original by undermining satisfaction with it. Our research suggests the incumbent should address moderate-quality creative imitations' challenges to customer satisfaction, while temporarily tolerating low-quality creative imitations."
44,1,January,2023,RESEARCH SUMMARY,What is a pivot? Explaining when and how entrepreneurial firms decide to make strategic change and pivot,"Jacqueline Kirtley, Siobhan O'Mahony","Most theories of strategic change focus on how large, established firms recognize or fail to recognize the need for strategic change. Little research examines how early-stage entrepreneurs decide when and how to change their strategies. With a longitudinal field study of seven entrepreneurial firms developing innovations in energy and cleantech, we examined 93 strategic decisions at risk for change. We found that decision-makers chose to change their strategies only after new information conflicted with or expanded their beliefs. Furthermore, a pivot, or strategic reorientation, was not achieved with a single decision, but by incrementally exiting or adding strategy elements over time, accumulating into a pivot. We contribute a grounded definition of what constitutes a pivot and explain when and how entrepreneurial firms pivot.","The term “pivot” is used extensively by practitioners and scholars alike, yet little is known about when and how entrepreneurial firms actually choose to change their strategies and when that change constitutes a pivot. We find that entrepreneurial firms choose to change their strategies only after receiving new information that conflicts with or expands their beliefs about their firm or uncertainties they face. However, this is more rare than the norm. Rather than make wholesale change with one decision, firms incrementally exit or add a single element to their strategies. A firm pivots and reorients their strategic direction by reallocating or restructuring the firm's activities, resources, and attention through an accumulated series of decisions to address the on-going stream of problems and opportunities early-stage firms confront."
44,1,January,2023,RESEARCH SUMMARY,"Are U.S. firms becoming more short-term oriented? Evidence of shifting firm time horizons from implied discount rates, 1980–2013","Rachelle C. Sampson, Yuan Shi","We provide evidence that investors in U.S. public markets are increasingly discounting firms' expected future cash flows during 1980–2013. This trend is shown not only on average across firms, but also within firms over time after alternative explanations are accounted for. To corroborate a link with firm time horizons, we estimate the relationship between an implied discount rate (“IDR”) and factors relevant to firm long-term strategy. We find that IDR is correlated in expected ways with firm investments, management incentives, financial health, ownership, and external pressures—measures that have been argued to correlate with firm time horizons. This article represents one of the first attempts to document market-wide evidence of shortening firm time horizons. These changing horizons bear important implications for firm strategy.","Whether U.S. firms have become more short-term oriented remains an active debate among managers, investors, researchers, and policymakers. In this study, we report that investors have been increasingly discounting the expected future returns of public firms over the last three decades. We find that a firm's discounting rate is explained by signals of its long-term strategy, including investment decisions, ownership structure, financial health, executive compensation scheme, and short-term pressures from the external environment. Our findings indicate a market-wide contraction of firm time horizons, highlighting firm characteristics that suggest how and why firms differ in their time horizons. These demonstrated relationships may help guide firms in devising investment strategies as well as external communications to attract investors that share a firm's preferred time horizon."
